genome_id	isolation_source	host_name	Environment
244366.3	dairy animal	Bos taurus	animal
1423798.3	rumen	Bos taurus	animal
1363.6	bovine mastitis	Bos taurus	animal
929563.3	urine of a bull	Bos taurus	animal
1291206.3	Bos taurus	Bos taurus	animal
1218567.3	Bovinae	Bos taurus	animal
436145.4	stillborn fetus from a slaughterhouse	Bos taurus	animal
44276.1	fetal bovine kidney	Bos taurus	animal
1291233.3	Bos taurus	Bos taurus	animal
1291304.3	Bovinae	Bos taurus	animal
1639.2006	8 day old calf, liver sample	Bos taurus	animal
1473546.3	cattle	Bos taurus	animal
1311759.4	pneumonic lung specimen from feedlot steer	Bos taurus	animal
1311760.4	pneumonic lung specimen from feedlot steer	Bos taurus	animal
1329904.3	pneumonic lung on an Iowa feedlot	Bos taurus	animal
1329905.3	pneumonic lung on an Iowa feedlot	Bos taurus	animal
1329906.3	pneumonic lung on an Iowa feedlot	Bos taurus	animal
1329902.3	cerebellum of Holstein calf	Bos taurus	animal
272629.3	the lung of a calf with pneumonia	Bos taurus	animal
669262.3	cattle	Bos taurus	animal
221988.4	bovine rumen	Bos taurus	animal
1214066.4	the rumen of Korean native cattle (Hanwoo)	Bos taurus	animal
743974.3	cow with pinkeye	Bos taurus	animal
1770.19	Bos taurus	Bos taurus	animal
1765.318	Pectoral lymph nodes	Bos taurus	animal
1188234.3	lung of a calf with pneumonia	Bos taurus	animal
1188236.3	lung from a calf with pneumonia	Bos taurus	animal
1188235.3	calf with septicemia	Bos taurus	animal
1316930.3	the lung tissue of the infected cattle	Bos taurus	animal
767465.3	the lung of an infected cattle from the farm	Bos taurus	animal
2113.3	cow with mastitis	Bos taurus	animal
865867.3	cattle	Bos taurus	animal
2103.16	bovine lung, and lost its immunity to bovine but obtained virus to rabbit after continuous cultivation	Bos taurus	animal
1943579.3	Rumen	Bos taurus	animal
1007096.3	the rumen of the Korean native cattle (Hanwoo)	Bos taurus	animal
1406.59	rumen	Bos taurus	animal
1290393.3	calf 1183	Bos taurus	animal
1331042.4	lungs from a calf with respiratory disease	Bos taurus	animal
1122973.3	rumen; rume n	Bos taurus	animal
1201036.3	rumen	Bos taurus	animal
1943580.3	Rumen	Bos taurus	animal
641112.4	rumen pill	Bos taurus	animal
1384063.4	neonatal calf faeces	Bos taurus	animal
28901.111	Dairy calf feces	Bos taurus	animal
28901.1109	Dairy calf feces	Bos taurus	animal
1262652.4	cattle feces from China	Bos taurus	animal
1454584.3	bovine pre-evisceration carcass	Bos taurus	animal
1454585.3	bovine pre-evisceration carcass	Bos taurus	animal
1454586.3	bovine hide	Bos taurus	animal
1094506.5	asymptomatic dairy cattle and dairy farm environments	Bos taurus	animal
1410918.3	feces, dairy cow	Bos taurus	animal
1410916.3	feces, dairy cow	Bos taurus	animal
1410919.3	feces, dairy cow	Bos taurus	animal
1410920.3	feces, dairy cow	Bos taurus	animal
1410921.3	feces, dairy cow	Bos taurus	animal
1410922.3	feces, dairy cow	Bos taurus	animal
1410923.3	feces, dairy cow	Bos taurus	animal
1410924.3	feces, dairy cow	Bos taurus	animal
1410917.3	feces, dairy cow	Bos taurus	animal
1410925.3	feces, dairy cow	Bos taurus	animal
1410926.3	feces, dairy cow	Bos taurus	animal
1410927.3	feces, dairy cow	Bos taurus	animal
1410928.3	feces, dairy cow	Bos taurus	animal
1410929.3	feces, dairy cow	Bos taurus	animal
1410930.3	feces from dairy cow	Bos taurus	animal
1410931.3	feces, dairy cow	Bos taurus	animal
909945.3	Vi-negative isolate from a calf with systemic salmonellosis in the United Kingdom	Bos taurus	animal
1173817.3	cow feces	Bos taurus	animal
611.105	Bovine Organ	Bos taurus	animal
1156551.3	fecal sample from dairy farm	Bos taurus	animal
1454599.3	bovine hide	Bos taurus	animal
1454600.3	bovine hide	Bos taurus	animal
1124958.3	fecal sample from dairy farm	Bos taurus	animal
997333.4	fecal sample from dairy farm	Bos taurus	animal
1124972.4	cattle	Bos taurus	animal
1454630.3	bovine post-intervention carcass	Bos taurus	animal
1454647.3	bovine pre-evisceration carcass	Bos taurus	animal
1454634.3	bovine pre-evisceration carcass	Bos taurus	animal
1454636.3	bovine adipose trim	Bos taurus	animal
1173929.3	fecal sample from dairy farm	Bos taurus	animal
59201.155	Bovine lymph node	Bos taurus	animal
59201.156	Bovine lymph node	Bos taurus	animal
59201.184	bovine liver abscess	Bos taurus	animal
59201.191	bovine liver abscess	Bos taurus	animal
59201.183	bovine liver abscess	Bos taurus	animal
59201.187	bovine liver abscess	Bos taurus	animal
59201.185	bovine liver abscess	Bos taurus	animal
59201.182	bovine liver abscess	Bos taurus	animal
59201.189	bovine liver abscess	Bos taurus	animal
59201.186	bovine liver abscess	Bos taurus	animal
59201.188	bovine liver abscess	Bos taurus	animal
59201.194	bovine liver abscess	Bos taurus	animal
59201.195	bovine liver abscess	Bos taurus	animal
59201.19	bovine liver abscess	Bos taurus	animal
59201.193	bovine liver abscess	Bos taurus	animal
59201.192	bovine liver abscess	Bos taurus	animal
59201.292	Dairy cow hide swab	Bos taurus	animal
59201.267	Fecal composite (dairy cow farm)	Bos taurus	animal
59201.298	Dairy cow feces	Bos taurus	animal
59201.297	Fecal composite (dairy cow farm)	Bos taurus	animal
59201.299	Dairy cow feces	Bos taurus	animal
59201.303	Dairy cow feces	Bos taurus	animal
59201.289	Dairy cow feces	Bos taurus	animal
59201.3	Dairy cow feces	Bos taurus	animal
59201.301	Fecal composite (dairy cow farm)	Bos taurus	animal
59201.288	Dairy cow feces	Bos taurus	animal
59201.282	Dairy cow feces	Bos taurus	animal
59201.278	Dairy cow feces	Bos taurus	animal
59201.27	Fecal composite (dairy cow farm)	Bos taurus	animal
446469.6	bovine blood	Bos taurus	animal
985762.7	cow with mastitis	Bos taurus	animal
1280.10373	bovine mastitis milk	Bos taurus	animal
1280.12285	Udder	Bos taurus	animal
1220551.3	Missouri dairy cow	Bos taurus	animal
1282.1889	cowhouse	Bos taurus	animal
1282.1887	cowhouse	Bos taurus	animal
1282.1886	cowhouse	Bos taurus	animal
1282.1891	cowhouse	Bos taurus	animal
1282.1888	cowhouse	Bos taurus	animal
1282.189	cowhouse	Bos taurus	animal
1282.2253	bovine mastitis milk	Bos taurus	animal
1357294.3	cow with mastitis	Bos taurus	animal
145391.4	Bovine Milk	Bos taurus	animal
1123302.3	Intestine of a cow	Bos taurus	animal
218495.5	clinical bovine mastitis case	Bos taurus	animal
1054217.5	digesta samples from rumen	Bos taurus	animal
